frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
130,38,[51 321 710 708],[286.4742736816406 595.3001098632812 469.9230651855469 657.736572265625],0.6867148876190186,None,None
131,38,[57 332 704 710],[277.4692077636719 609.5319213867188 466.6029968261719 667.4385375976562],0.6936210989952087,None,None
132,38,[57 345 696 717],[280.8760986328125 619.0198364257812 466.3359375 680.0299072265625],0.732734203338623,None,None
133,38,[59 355 690 719],[281.30450439453125 628.1986083984375 466.2326354980469 689.1510009765625],0.7235903739929199,None,None
134,38,[59 360 688 720],[277.0335693359375 631.6701049804688 467.88970947265625 696.3638916015625],0.7234926819801331,None,None
135,38,[66 363 694 720],[283.8941955566406 635.8562622070312 470.7173156738281 699.821044921875],0.7298959493637085,None,None
135,37,[830 236 946 314],[867.8778076171875 259.3883056640625 908.138671875 284.37078857421875],0.3749646246433258,None,None
136,38,[71 366 700 720],[287.37396240234375 638.2843627929688 478.7290344238281 701.6986083984375],0.7328534126281738,None,None
136,37,[846 238 965 317],[886.6539916992188 260.8282470703125 924.2280883789062 288.89837646484375],0.3281179666519165,None,None
137,38,[70 364 708 720],[283.0384521484375 633.4264526367188 479.6650390625 701.08984375],0.7430062890052795,None,None
137,37,[863 237 982 317],[903.4139404296875 260.6369323730469 942.6365966796875 286.1802673339844],0.33588099479675293,None,None
138,38,[66 360 718 720],[291.149658203125 632.2742919921875 482.0906982421875 694.15673828125],0.7112693190574646,None,None
138,37,[877 230 1001 313],[920.9503173828125 257.31610107421875 957.8367919921875 278.2490539550781],0.37619951367378235,None,None
139,38,[72 355 738 720],[291.434326171875 622.0972900390625 488.0611877441406 689.557373046875],0.747672438621521,None,None
139,37,[893 221 1018 305],[939.2977294921875 244.59693908691406 975.1881103515625 268.7336730957031],0.26534226536750793,None,None
140,38,[72 345 757 719],[297.6005554199219 617.8046264648438 492.88494873046875 679.3907470703125],0.7266509532928467,None,None
141,38,[72 335 776 718],[294.6971435546875 611.767578125 498.6780090332031 676.673095703125],0.7356590628623962,None,None
141,37,[922 198 1056 289],[969.8530883789062 231.19094848632812 1008.3569946289062 250.841064453125],0.30640310049057007,None,None
142,38,[68 329 786 718],[297.11822509765625 606.8850708007812 505.6490173339844 672.9778442382812],0.7176045179367065,None,None
142,37,[939 190 1073 280],[985.5009155273438 218.4530792236328 1026.5718994140625 244.43026733398438],0.2693156898021698,None,None
143,38,[69 321 804 719],[307.16729736328125 604.2557983398438 513.5875854492188 671.9573974609375],0.7024793028831482,None,None
143,37,[956 180 1094 273],[1006.4633178710938 216.9429931640625 1047.6639404296875 237.4275360107422],0.35614892840385437,None,None
144,38,[70 313 819 718],[310.4931335449219 599.5130615234375 522.1968383789062 669.2504272460938],0.7199686169624329,None,None
145,38,[75 303 836 714],[315.5637512207031 593.8052368164062 532.4473876953125 668.85205078125],0.7473136782646179,None,None
146,38,[80 295 858 714],[321.1904602050781 586.32470703125 543.4313354492188 661.878173828125],0.7430189251899719,None,None
147,38,[86 287 878 712],[333.5309143066406 587.728759765625 552.4893188476562 659.1951293945312],0.7278855443000793,None,None
148,38,[98 279 901 709],[348.3313293457031 582.2125244140625 566.0699462890625 652.7890014648438],0.7550577521324158,None,None
149,38,[108 274 920 709],[357.7275390625 573.8834228515625 577.4746704101562 648.4976806640625],0.7472505569458008,None,None
150,38,[112 267 934 708],[375.33880615234375 567.9588012695312 592.4426879882812 640.623291015625],0.7624780535697937,None,None
151,38,[121 263 949 707],[381.2823486328125 558.2694702148438 599.8716430664062 630.561279296875],0.7234657406806946,None,None
152,38,[133 258 969 708],[394.9440002441406 549.4900512695312 612.5984497070312 618.7644653320312],0.7385700345039368,None,None
153,38,[141 255 981 710],[408.92864990234375 545.4291381835938 620.7288208007812 609.05908203125],0.7092810869216919,None,None
154,38,[152 254 989 709],[418.3660888671875 532.3992309570312 624.3848266601562 604.1613159179688],0.7327753305435181,None,None
155,38,[173 252 996 701],[430.2286376953125 526.5341796875 632.6614990234375 594.9985961914062],0.728874683380127,None,None
156,38,[195 251 1000 692],[436.61083984375 518.5597534179688 637.6810913085938 585.6278686523438],0.7250465750694275,None,None
157,38,[202 250 991 683],[451.80755615234375 513.033203125 647.488037109375 581.2454223632812],0.750929594039917,None,None
158,38,[216 250 984 673],[454.1592712402344 504.40228271484375 651.7684326171875 572.6708374023438],0.7222710847854614,None,None
159,38,[231 250 979 663],[458.7749938964844 499.8692626953125 652.89306640625 568.3099975585938],0.7347198724746704,None,None
160,38,[242 251 974 656],[464.58612060546875 495.0982666015625 655.9990844726562 560.765869140625],0.7133716940879822,None,None
161,38,[253 251 967 647],[476.4739990234375 490.7463073730469 659.512451171875 556.3771362304688],0.6974372267723083,None,None
162,38,[264 251 967 641],[490.4745788574219 486.66033935546875 667.5499267578125 548.0834350585938],0.7242556214332581,None,None
163,38,[283 251 974 636],[499.6504211425781 483.6126403808594 673.5520629882812 542.2454833984375],0.7168230414390564,None,None
164,38,[296 251 973 629],[505.8674011230469 480.2171325683594 680.2755737304688 538.8280639648438],0.7268311977386475,None,None
165,38,[309 249 974 623],[518.724853515625 474.8627624511719 683.9860229492188 531.9696044921875],0.7342954874038696,None,None
166,38,[324 250 974 615],[523.6834716796875 469.5955810546875 692.3111572265625 530.2131958007812],0.700082004070282,None,None
167,38,[340 250 974 607],[539.1336059570312 462.1211853027344 701.07568359375 523.4473876953125],0.755989134311676,None,None
167,37,[982 133 1092 231],[1014.9857177734375 175.690185546875 1054.9818115234375 197.2874755859375],0.38488656282424927,None,None
168,38,[351 245 981 600],[544.1485595703125 456.6918640136719 707.1521606445312 517.1264038085938],0.742830216884613,None,None
168,37,[976 133 1089 230],[1012.0366821289062 175.9125213623047 1052.541748046875 196.53549194335938],0.3550967276096344,None,None
169,38,[362 242 982 593],[564.1427612304688 455.39703369140625 718.5480346679688 513.2550659179688],0.7156804800033569,None,None
169,37,[972 133 1087 229],[1010.7906494140625 175.68667602539062 1050.1968994140625 196.50836181640625],0.3063161373138428,None,None
170,38,[376 242 986 588],[565.1843872070312 449.65155029296875 726.6058959960938 511.24273681640625],0.748833179473877,None,None
170,37,[968 133 1085 229],[1006.0438842773438 175.83074951171875 1047.568603515625 197.13226318359375],0.310177206993103,None,None
171,38,[390 241 991 583],[583.7748413085938 450.9395751953125 732.7686767578125 500.9747009277344],0.6950453519821167,None,None
171,37,[963 134 1082 230],[1001.249267578125 175.72305297851562 1042.073486328125 198.3052215576172],0.518014132976532,None,None
172,38,[399 243 992 580],[588.493896484375 447.5553283691406 742.2465209960938 501.71209716796875],0.708607017993927,None,None
172,37,[958 135 1079 231],[999.6610107421875 177.13771057128906 1040.1292724609375 199.5384063720703],0.42765527963638306,None,None
173,38,[413 242 999 576],[597.2374877929688 441.91436767578125 752.291015625 500.3689270019531],0.720516562461853,None,None
173,37,[953 135 1076 233],[996.9727172851562 176.24002075195312 1035.6624755859375 198.923095703125],0.28385600447654724,None,None
174,38,[425 243 1001 572],[603.7161865234375 439.296142578125 757.276611328125 494.32958984375],0.6755520105361938,None,None
174,37,[947 136 1072 233],[992.1192626953125 175.21519470214844 1031.5753173828125 199.32894897460938],0.2683412730693817,None,None
175,38,[436 241 1004 567],[619.863525390625 436.7109680175781 763.95654296875 486.94940185546875],0.7149995565414429,None,None
176,38,[447 242 1003 561],[631.7423095703125 432.3620910644531 767.240234375 484.388671875],0.7214815020561218,None,None
177,38,[455 241 1004 557],[637.8566284179688 428.79241943359375 772.5682983398438 482.2728576660156],0.7106748223304749,None,None
178,38,[465 243 1002 552],[640.279541015625 426.921630859375 777.3775024414062 476.86444091796875],0.7056275010108948,None,None
179,38,[476 247 999 548],[644.3629150390625 422.9769287109375 784.1875 474.8924560546875],0.7243707776069641,None,None
180,38,[482 248 998 544],[654.9196166992188 422.8333740234375 784.5955200195312 470.6805419921875],0.7222046852111816,None,None
181,38,[487 246 999 541],[659.0201416015625 419.72930908203125 786.15234375 469.91424560546875],0.7359796762466431,None,None
181,37,[894 142 1026 238],[943.0171508789062 186.12220764160156 982.8173828125 206.0800018310547],0.31752273440361023,None,None
182,38,[490 244 999 538],[653.6008911132812 418.500732421875 786.751220703125 468.4132995605469],0.7226114273071289,None,None
183,38,[500 253 991 536],[665.2540283203125 416.0558166503906 790.1726684570312 466.26837158203125],0.7508283257484436,None,None
184,38,[511 262 983 533],[662.2060546875 415.1222229003906 793.8310546875 465.9154052734375],0.7055004835128784,None,None
185,38,[513 261 983 531],[665.88330078125 415.19708251953125 791.2877807617188 463.2972412109375],0.7162564396858215,None,None
186,38,[508 254 987 529],[666.3933715820312 414.5376892089844 794.2874145507812 462.16845703125],0.684809684753418,None,None
187,38,[516 260 979 527],[665.5648193359375 413.781494140625 790.1365966796875 460.01995849609375],0.6845086812973022,None,None
188,38,[520 263 975 524],[669.8207397460938 413.646728515625 790.70703125 458.6168518066406],0.6837355494499207,None,None
189,38,[527 269 968 522],[670.7150268554688 412.8757019042969 789.564697265625 454.6040344238281],0.6518253684043884,None,None
190,38,[531 273 961 519],[669.576171875 411.0079345703125 790.863037109375 456.2901306152344],0.677419126033783,None,None
191,38,[535 279 954 518],[680.9580688476562 411.4653625488281 789.320068359375 454.92266845703125],0.6922355890274048,None,None
192,38,[529 271 958 516],[678.6677856445312 412.5557556152344 786.7962036132812 455.0977478027344],0.6632349491119385,None,None
193,38,[540 288 942 515],[674.5932006835938 412.6313781738281 785.1112060546875 455.5228576660156],0.6569177508354187,None,None
194,38,[552 307 925 516],[674.8235473632812 414.8052062988281 785.2882080078125 456.6836853027344],0.6526695489883423,None,None
